SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
209	11/21/2025	Nov	2025	BS	Tools	Tools	Bartan			50 KG Bartan  For Feed Kaming					3440
210	11/19/2025	Nov	2025	P&L	Vehicls Running	P&L	Petrol			Petrol in bike					260
211	11/23/2025	Nov	2025	P&L	Vehicls Running	P&L	Petrol			Petrol in bike					260
212	11/21/2025	Nov	2025	P&L	Printing and Stationery	P&L	Printing and Stationery			Register					240
213	11/19/2025	Nov	2025	P&L	Operative Expenses	P&L	Wages			Paid to Mistry					300
214	11/20/2025	Nov	2025	P&L	Operative Expenses	P&L	Misc			Cron Ratl					720
215	11/20/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Dana Pasai					110
216	11/22/2025	Nov	2025	P&L	Feeding Material	P&L	Misc			Cow Masala for Cow-2					500
217	11/3/2025	Nov	2025	P&L	Feeding Material	P&L	Wheet			Wheet 115 X 20					2300
218	11/29/2025	Nov	2025	P&L	Operative Expenses	P&L	Oil			Muster Oil 1 Ltrs					195
219	11/30/2025	Nov	2025	P&L	Vehicls Running	P&L	Petrol			Petrol in bike					220
220	11/30/2025	Nov	2025	P&L	Operative Expenses	P&L	Misc			Peniel Botel					72
221	12/1/2025	Dec	2025	P&L	Operative Expenses	P&L	Misc			Coconut Oil					42
222	10/9/2025	Oct	2025	P&L	Consultancy Charge	P&L	Fees			Doctor Visit Fees					300
223	12/3/2025	Dec	2025	P&L	Feeding Material-2	P&L	Gur			Gur Mita 40 X 26.4			26.4	40	1056
224	12/3/2025	Dec	2025	P&L	Feeding Material-2	P&L	Dal			Dal 23.3 KG X 66			23.3	66	1530
225	12/3/2025	Dec	2025	P&L	Operative Expenses	P&L	Misc			Rubber					40
226	12/4/2025	Dec	2025	P&L	Feeding Material	P&L	Lakri			Lakri Cutting  Charge					1200
